Brand name	Markenname
Solid oak.	Massive Eiche.
Solid poplar and glass.	Massive Pappel und Glas.
Stainless molybdenum/vanadium-steel and pakkawood.	Rostfreier Molybdän-/Vanadiumstahl und Pakkaholz.
Stainless molybdenum/vanadium-steel and rubber.	Rostfreier Molybdän-/Vanadiumstahl und Gummi.
Stainless steel and aluminium.	Edelstahl und Aluminium.
Stainless steel and solid beech.	Edelstahl und massive Buche.
Stainless steel and chrome-plated zinc.	Edelstahl und verchromtes Zink.
Stained, clear lacquered solid pine.	Gebeizte, klar lackierte, massive Kiefer.
Stained, clear lacquered solid spruce.	Gebeiztes, klar lackiertes Nadelholz.
Stained, clear lacquered solid aspen.	Gebeizte, klar lackierte, massive Espe.
Clear lacquered beech veneer.	Klar lackiertes Buchenfurnier.
Clear lacquered birch veneer.	Klar lackiertes Birkenfurnier.
Stained, clear lacquered oak veneer.	Gebeiztes, klar lackiertes Eichenfurnier.
Stained, clear lacquered ash veneer.	Gebeiztes, klar lackiertes Eschenfurnier.
Clear lacquered solid birch.	Klar lackierte massive Birke.
Foil finish.	Folienbeschichtete Oberfläche.
Powder coated steel.	Pulverbeschichteter Stahl.
Tempered glass.	Gehärtetes Glas.
Clear lacquered rattan.	Klar lackiertes Rattan.
Chrome-plated steel.	Verchromter Stahl.
Oiled solid oak.	Geölte, massive Eiche.
Oiled solid beech.	Geölte, massive Buche.
Untreated solid pine.	Unbehandelte massive Kiefer.
Artificial leather.	Kunstleder.
Plastic and stainless steel.	Kunststoff und Edelstahl.
Clear lacquered solid pine.	Klar lackierte massive Kiefer.
Clear lacquered solid pine and foil finish.	Klar lackierte massive Kiefer und folienbeschichtete Oberfläche.
Clear lacquered solid pine and plastic.	Klar lackierte massive Kiefer und Kunststoff.
Clear lacquered solid oak.	Klar lackierte massive Eiche.
Clear lacquered solid oak and oak veneer.	Klar lackierte massive Eiche und Eichenfurnier.
Stained, clear lacquered solid oak.	Gebeizte, klar lackierte, massive Eiche.
Stained, clear lacquered solid oak and glass.	Gebeizte, klar lackierte massive Eiche und Glas.
Stained, clear lacquered solid oak and oak veneer.	Gebeizte, klar lackierte, massive Eiche und Eichenfurnier.
Clear lacquered solid birch and birch veneer.	Klar lackierte massive Birke und Birkenfurnier.
Clear lacquered solid birch and plywood.	Klar lackierte massive Birke und Sperrholz.
Stained, clear lacquered solid beech.	Gebeizte, klar lackierte, massive Buche.
Clear lacquered solid beech and stainless steel.	Klar lackierte massive Buche und Edelstahl.
Clear lacquered solid rubberwood.	Klar lackiertes massives Gummibaumholz.
Stained, clear lacquered oak veneer and solid oak.	Gebeiztes, klar lackiertes Eichenfurnier und massive Eiche.
Clear lacquered oak veneer.	Klar lackiertes Eichenfurnier.
Clear lacquered oak veneer and steel.	Klar lackiertes Eichenfurnier und Stahl.
Legs: steel.	Beine: Stahl.
Clear lacquered birch veneer and tempered glass.	Klar lackiertes Birkenfurnier und gehärtetes Glas.
Foil finish and tempered glass.	Folienbeschichtete Oberfläche und gehärtetes Glas.
Foil finish and aluminium.	Folie und Aluminium.
Foil finish and chromed-plated steel.	Folienbeschichtete Oberfläche und verchromter Stahl.
Foil finish and glass.	Folienbeschichtete Oberfläche und Glas.
Foil finish and steel.	Folienbeschichtete Oberfläche und Stahl.
Foil finish and mirror glass.	Folienbeschichtete Oberfläche und Spiegelglas.
Foil finish and plastic.	Folienbeschichtete Oberfläche und Kunststoff.
High-gloss foil finish.	Hochglanzfolie.
Tin-plated steel.	Verzinnter Stahl.
Foil finish and frosted glass.	Folie und Frostglas.
Melamine foil finish and steel.	Melaminfolie und Stahl.
Melamine foil finish and plastic.	Melaminfolie und Kunststoff.
Melamine foil finish and birch veneer.	Melaminfolie und Birkenfurnier.
Chrome-plated steel and glass.	Verchromter Stahl und Glas.
Steel and tempered glass.	Stahl und gehärtetes Glas.
Steel and melamine foil finish.	Stahl und Melaminfolie.
Steel and plastic.	Stahl und Kunststoff.
Anodised aluminium.	Anodisiertes Aluminium.
Clear lacquered aluminium.	Klar lackiertes Aluminium.
Stainless steel and glass.	Edelstahl und Glas.
Stainless steel and feldspar porcelain.	Edelstahl und Feldspatporzellan.
Stainless steel, plastic and synthetic rubber.	Edelstahl, Kunststoff und synthetischer Gummi.
Nickel-plated steel and tempered glass.	Vernickelter Stahl und gehärtetes Glas.
Clear lacquered, nickel-plated steel.	Klar lackierter, vernickelter Stahl.
Galvanised steel and plastic.	Verzinkter Stahl und Kunststoff.
Galvanised steel and untreated solid wood.	Verzinkter Stahl und unbehandeltes Massivholz.
Enamelled steel.	Emaillierter Stahl.
Enamelled cast iron.	Emailliertes Gusseisen.
Tempered glass and chrome-plated steel.	Gehärtetes Glas und verchromter Stahl.
Tempered glass and aluminium.	Gehärtetes Glas und Aluminium.
Tempered glass, aluminium and foil finish.	Gehärtetes Glas, Aluminium und folienbeschichtete Oberfläche.
Clear lacquered rattan and solid wood.	Klar lackiertes Rattan und Massivholz.
Clear lacquered rattan and steel.	Klar lackiertes Rattan und Stahl.
Clear lacquered bamboo.	Klar lackierter Bambus.
Clear lacquered bamboo and rattan.	Klar lackierter Bambus und Rattan.
Aluminium with Teflon® Platinum+ coating.	Aluminium mit Antihaftbeschichtung Teflon® Platinum Plus.
Aluminium with Teflon® Professional coating.	Aluminium mit Antihaftbeschichtung Teflon® Professional.
Aluminium with Teflon® Select coating.	Aluminium mit Antihaftbeschichtung Teflon® Select.
Printed and embossed finish.	Bedruckte und geprägte Oberfläche.
Glass and nickel-plated steel.	Glas und verzinkter Stahl.
Glass and stainless steel.	Glas und Edelstahl.
Mouth-blown glass.	Mundgeblasenes Glas.
100% polypropylene.	100% Polypropylen.
Rice paper.	Reispapier.
Rice paper and steel.	Reispapier und Stahl.
Cover: 100% cotton.	Bezug: 100% Baumwolle.
Cover: 100% wool.	Bezug: 100% Wolle.
Cover: 92% cotton and 8% polyester.	Bezug: 92% Baumwolle und 8% Polyester.
Cover: 87% cotton and 13% polyester.	Bezug: 87% Baumwolle und 13% Polyester.
Cover: 85% cotton and 15% polyester.	Bezug: 85% Baumwolle und 15% Polyester.
Cover: 80% cotton and 20% flax.	Bezug: 80% Baumwolle und 20% Flachs.
Cover: 79% cotton and 21% polyester.	Bezug: 79% Baumwolle und 21% Polyester.
Cover: 75% cotton and 25% polyester.	Bezug: 75% Baumwolle und 25% Polyester.
Cover: 70% cotton and 30% viscose.	Bezug: 70% Baumwolle und 30% Viskose.
Cover: 55% cotton, 41% viscose and 4% polyester.	Bezug: 55% Baumwolle, 41% Viskose und 4% Polyester.
Cover: 50% cotton and 50% polyester.	Bezug: 50% Baumwolle und 50% Polyester.
Plastic and aluminium.	Kunststoff und Aluminium.
Plastic and chrome-plated steel.	Kunststoff und verchromter Stahl.
Plastic and galvanised steel.	Kunststoff und verzinkter Stahl.
Plastic and steel.	Kunststoff und Stahl.
Plastic and synthetic rubber.	Kunststoff und synthetischer Gummi.
Plastic and rubber.	Kunststoff und Gummi.
Hook: steel.	Haken: Stahl.
Painted paperboard.	Lackierte Pappe.
Paperboard and cotton.	Pappe und Baumwolle.
Earthenware.	Steingut.
Feldspar porcelain.	Feldspatporzellan.
Red clay.	Terrakotta.
Silicone-treated red clay.	Silikonbeschichtete Terrakotta.
Stoneware.	Steinzeug.
Ceramics.	Keramik.
Waxed paper and painted steel.	Gewachstes Papier und lackierter Stahl.
Paraffin/vegetable wax.	Paraffin/pflanzliches Wachs.
Clear lacquered banana fibres.	Klar lackierte Bananenstaudenfaser.
Polyester microfibre and paperboard.	Polyester-Mikrofaser und Pappe.
Filling: 100% waterfowl feathers.	Füllung: 100% Wasservogelfedern.
Powder coated steel and plastic.	Pulverbeschichteter Stahl und Kunststoff.
Aluminium and tempered glass.	Aluminium und gehärtetes Glas.
Galvanised steel.	Verzinkter Stahl.
Stained, clear lacquered beech veneer.	Gebeiztes, klar lackiertes Buchenfurnier.
Painted finish.	Lackierte Oberfläche.
Clear lacquered solid birch, painted finish.	Klar lackierte massive Birke, lackierte Oberfläche.
Clear lacquered oak veneer and tempered glass.	Klar lackiertes Eichenfurnier und gehärtetes Glas.
Clear lacquered beech veneer and tempered glass.	Klar lackiertes Buchenfurnier und gehärtetes Glas.
Polyurethane foam.	Polyether.
High resilience foam.	Kaltschaum.
Memory foam and polyurethane foam.	Memoryschaum und Polyether.
Latex, high resilience foam and lamb's wool.	Latex, Kaltschaum und Lammwolle.
Memory foam, cold foam and lamb's wool.	Memoryschaum, Kaltschaum und Lammwolle.
Natural and synthetic latex.	Naturlatex und synthetischer Latex.
Steel, solid pine and polyurethane foam.	Stahl, massive Kiefer und Polyether.
Polypropylene plastic.	Polypropylen.
Polyamide plastic and steel.	Polyamid und Stahl.
Steel and polyurethane foam.	Stahl und Polyether.
Steel and latex.	Stahl und Latex.
Steel and memory foam.	Stahl und Memoryschaum.
Polyester wadding.	Polyesterwattierung.
Solid pine and spruce, beech veneer.	Massive Kiefer und Nadelholz, Buchenfurnier.
Solid pine.	Massive Kiefer.
Birch veneer.	Birkenfurnier.
Birch veneer and birch plywood.	Birkenfurnier und Birkensperrholz.
Solid pine and spruce, steel.	Massive Kiefer und Nadelholz, Stahl.
Solid pine and spruce.	Massive Kiefer und Nadelholz.
Solid birch and birch veneer.	Massive Birke und Birkenfurnier.
Aluminium and glass.	Aluminium und Glas.
High-gloss foil finish and tempered glass.	Hochglanzfolie und gehärtetes Glas.
Clear lacquered, printed finish.	Klar lackierte, bedruckte Oberfläche.
Acrylic plastic.	Acryl.
Glass, painted solid pine.	Glas, lackierte massive Kiefer.
Glass, stained clear lacquered solid oak.	Glas, gebeizte, klar lackierte massive Eiche.
Glass, stained clear lacquered oak veneer.	Glas, gebeiztes, klar lackiertes Eichenfurnier.
Glass, clear lacquered solid birch.	Glas, klar lackierte massive Birke.
Mirror glass and painted finish.	Glas und lackierte Oberfläche.
Powder coated steel/cellulose and cottonfibres.	Pulverbeschichteter Stahl/Zellulose und Baumwollfasern.
Stained, clear lacquered solid birch.	Gebeizte, klar lackierte, massive Birke.
Glass.	Glas.
Plastic.	Kunststoff.
Handle: steel.	Griff: Stahl.
Crushed marble.	Marmorgranulat.
Stainless steel and plastic.	Edelstahl und Kunststoff.
Stainless steel.	Edelstahl.
Melamine foil.	Melaminfolie.
Tempered glass and foil finish.	Gehärtetes Glas und folienbeschichtete Oberfläche.
Glass and foil finish.	Glas und folienbeschichtete Oberfläche.
Porcelain.	Porzellan.
Porcelain and stainless steel.	Porzellan und Edelstahl.
Stainless steel and tempered glass.	Edelstahl und gehärtetes Glas.
Solid spruce.	Massives Nadelholz.
Glass and clear lacquered foil finish.	Glas und klar lackierte Folie.
Untreated solid wood.	Unbehandeltes Massivholz.
Untreated solid spruce.	Unbehandeltes massives Nadelholz.
Steel and polyester.	Stahl und Polyester.
Steel.	Stahl.
Filling: polyester fibres.	Füllung: Polyesterfasern.
Temperature-regulating lining/lyocell/polyester.	Temperaturausgleichendes Futter/Lyocell/Polyester.
Cover: lyocell/cotton.	Bezug: Lyocell/Baumwolle.
Filling: polyester.	Füllung: Polyester.
Temperature-regulation lining/polyester.	Temperaturausgleichendes Futter/Polyester.
Polyurethane/cotton/polyester.	Polyurethan/Baumwolle/Polyester.
Steel, polystyrene plastic and paper.	Stahl, Polystyrol und Papier.
Steel and polycarbonate plastic.	Stahl und Polycarbonat.
Moulded birch plywood, steel and glass.	Schichtgeformtes Birkensperrholz, Stahl und Glas.
Bamboo and steel.	Bambus und Stahl.
Paper and steel.	Papier und Stahl.
Polypropylene plastic and aluminium.	Polypropylen und Aluminium.
Steel and aluminium.	Stahl und Aluminium.
Solid beech and 100% cotton.	Massive Buche und 100% Baumwolle.
Steel and glass.	Stahl und Glas.
Steel and acrylic plastic.	Stahl und Acryl.
Steel and 100% cotton.	Stahl und 100% Baumwolle.
Steel and polypropylene plastic.	Stahl und Polypropylen.
Steel and rice paper.	Stahl und Reispapier.
Steel and synthetic rubber.	Stahl und synthetischer Gummi.
Glass and polypropylene plastic.	Glas und Polypropylen.
Polycarbonate plastic and aluminium.	Polycarbonat und Aluminium.
Stoneware and steel.	Steinzeug und Stahl.
Polypropylene plastic and SAN plastic.	Polypropylen und SAN-Kunststoff.
Glass, polystyrene plastic and 100% cotton.	Glas, Polystyrol und 100% Baumwolle.
ABS plastic, polycarbonate plastic and steel.	ABS-Kunststoff, Polycarbonat und Stahl.
Clear lacquered painted willow.	Lackierte Weide mit Klarlacküberzug.
Clear lacquered banana leaves and rattan.	Klar lackierte Bananenblätter und Rattan.
Cotton and paper-board.	Baumwolle und Pappe.
Glass, steel and plyamid plastic.	Glas, Stahl und Polyamid.
Polycarbonate plastic and ABS plastic.	Polycarbonat und ABS-Kunststoff.
Clear lacquered palm leaves.	Klar lackierte Palmblätter.
Glass, zinc and steel.	Glas, Zink und Stahl.
Aluminium and polystyrene plastic.	Aluminium und Polystyrol.
Polypropylene plastic and polycarbonate plastic.	Polypropylen und Polycarbonat.
Clear lacquered bamboo and card board.	Klar lackierter Bambus und Pappe.
Palm leaf ribs and card board.	Palmblattsprossen und Pappe.
Steel and cotton.	Stahl und Baumwolle.
Anodized aluminium and polycarbonate plastic.	Anodisiertes Aluminium und Polycarbonat.
Glass and polycarbonate plastic.	Glas und Polycarbonat.
Steel, particleboard and cotton.	Stahl, Spanplatte und Baumwolle.
Polycarbonate plastic.	Polycarbonat.
PVC plastic.	PVC.
Willow and cotton.	Weide und Baumwolle.
Clear lacquered rattan and cotton.	Klar lackiertes Rattan und Baumwolle.
65% polyester and 35% cotton.	65% Polyester und 35% Baumwolle.
65% polyester, 35% cotton and steel.	65% Polyester, 35% Baumwolle und Stahl.
Polyester and steel.	Polyester und Stahl.
Stained, clear lacquered beech veneer/tempered glass.	Gebeiztes, klar lackiertes Buchenfurnier und gehärtetes Glas.
Stained, clear lacquered oak veneer/tempered glass.	Gebeiztes, klar lackiertes Eichenfurnier und gehärtetes Glas.
Stained, clear lacquered solid pine and tempered glass.	Gebeizte, klar lackierte massive Kiefer und gehärtetes Glas.
Clear lacquered birch plywood.	Klar lackiertes Birkensperrholz.
Stained, clear lacquered solid pine or spruce.	Lasierte, klar lackierte massive Kiefer oder Fichte.
Solid birch and cork.	Massive Birke und Kork.
Polystyrene plastic.	Polystyrol.
Stained, clear lacquered solid pine and glass.	Lasierte, klar lackierte massive Kiefer und Glas.
Stained, clear lacquered plywood and glass.	Lasiertes, klar lackiertes Sperrholz und Glas.
Clear lacquered birch veneer and glass.	Klar lackiertes Birkenfurnier und Glas.
Rubber.	Gummi.
Clear lacquered solid birch and stainless steel.	Klar lackierte massive Birke und Edelstahl.
Stained and clear lacquered oak veneer.	Lasiertes und klar lackiertes Eichenfurnier.
Painted solid hardwood and stainless steel.	Lackiertes, massives Hartholz und Edelstahl.
Painted solid birch and stainless steel.	Lackierte massive Birke und Edelstahl.
Clear lacquered solid eucalyptus and steel.	Klar lackiertes massives Eukalyptusholz und Stahl.
Painted solid hardwood.	Lackiertes, massives Hartholz.
Painted solid eucalyptus and steel.	Lackiertes massives Eukalyptusholz und Stahl.
Painted solid mango and steel.	Lackiertes, massives Mangobaumholz und Stahl.
Solid birch, cotton and stainless steel.	Massive Birke, Baumwolle und Edelstahl.
80% polyester, 20% nylon and plastic.	80% Polyester, 20% Nylon und Kunststoff.
Textile and plastic.	Textil und Kunststoff.
Stainless steel, 70% polyester and 30% cotton.	Edelstahl, 70% Polyester und 30% Baumwolle.
Polyester, plastic and steel.	Polyester, Kunststoff und Stahl.
Solid pine and pig's bristle.	Massive Kiefer und Schweineborsten.
Plastic, rubber and steel.	Kunststoff, Gummi und Stahl.
100% polyester.	100% Polyester.
Glass and steel.	Glas und Stahl.
100% polyester and steel.	100% Polyester und Stahl.
60% cotton, 40% linen, polystyrene plastic and steel.	60% Baumwolle, 40% Leinen, Polystyrol und Stahl.
100% cotton, polystyrene plastic and steel.	100% Baumwolle, Polystyrol und Stahl.
Tinted, clear lacquered solid oak and stainless steel.	Getönte, klar lackierte massive Éiche und Edelstahl.
Tinted, clear lacquered solid wood and steel.	Getöntes, klar lackiertes Massivholz und Stahl.
Paper, wax and steel.	Papier, Wachs und Stahl.
Polycarbonate plastic, copper, steel, ABS/PVC plastic.	Polycarbonat, Kupfer, Stahl, ABS-Kunststoff/PVC.
Copper coated PET plastic and steel.	PET-Kunststoff mit Kupferauflage und Stahl.
Aluminium coated PET plastic and steel.	PET-Kunststoff mit Aluminiumbeschichtung und Stahl.
Steel and EVA plastic.	Stahl und EVA-Kunststoff.
PVC/PET plastic/polypropylene plastic/polyamide plastic	PVC/PET-Kunststoff/Polypropylen/Polyamid
Polypropylene plastic and steel.	Polypropylen und Stahl.
Polystyrene plastic, 100% cotton and steel.	Polystyrol, 100% Baumwolle und Stahl.
65% polyester/35% cotton/polystyrene plastic/steel.	65% Polyester/35% Baumwolle/Polystyrol/Stahl.
60% polyester/40% cotton/polystyrene plastic/steel.	60% Polyester/40% Baumwolle/Polystyrol/Stahl.
Steel, polycarbonate plastic and ABS plastic.	Stahl, Polycarbonat und ABS-Kunststoff.
Steel and ABS plastic.	Stahl und ABS-Kunststoff.
Steel, polycarbonate plastic, ABS plastic and glass.	Stahl, Polycarbonat, ABS-Kunststoff und Glas.
ABS plastic and polycarbonate plastic.	ABS-Kunststoff und Polycarbonat.
Acrylic plastic and ABS plastic.	Acrylkunststoff und ABS-Kunststoff.
Reinforced polyester, aluminium and tempered glass.	Verstärktes Polyester, Aluminium und gehärtetes Glas.
Reinforced polyester, ABS plastic and glass.	Verstärkter Polyester, ABS-Kunststoff und Glas.
PVC plastic and polyamide plastic.	PVC und Polyamid.
Steel, polycarbonate plastic and anodized aluminium.	Stahl, Polycarbonat und anodisiertes Aluminium.
Stoneware/steel/100% polyester/polystyrene plastic.	Steinzeug/Stahl/100% Polyester/Polystyrol.
Glass, steel, 100% polyester and polystyrene plastic.	Glas, Stahl, 100% Polyester und Polystyrol.
Front side: 100% cotton.	Vorderseite: 100% Baumwolle.
Backside: 100% viscose/rayon.	Rückseite: 100% Viskose.
Filling: polyester hollow fibres.	Füllung: Hohlfasern aus Polyester.
Filling: 85% duck feathers and 15% duck down.	Füllung: 85% Entenfedern 15% Entendaunen.
Filling: 80% duck feathers and 20% duck down.	Füllung: 80% Entenfedern und 20% Entendaunen.
Filling: 60% duck down and 40% duck feathers.	Füllung: 60% Entendaunen und 40% Entenfedern.
Filling: 75% duck down and 25% duck feathers.	Füllung: 75% Entendaunen und 25% Entenfedern.
Filling: 50% lyocell and 50% polyester.	Füllung: 50% Lyocell und 50% Polyester.
Filling: polyester fibre balls.	Füllung: Polyesterfaserbällchen.
Filling: memory foam.	Füllung: Memoryschaum.
Filling: polyurethane foam.	Füllung: Polyether.
Filling: 100% polyester microfibre.	Füllung: 100% Polyester.
Temperature-regulating lining/polyester microfibre.	Temperaturausgleichendes Futter/Polyester-Mikrofasern.
Fabric: lyocell/cotton.	Inlett: Lyocell/Baumwolle.
Filling: lyocell/polyester.	Füllung: Lyocell/Polyester.
Outer fabric: 100% cotton.	Bezug: 100% Baumwolle.
Fabric: cotton/polyester.	Stoff: Baumwolle/Polyester.
Outer fabric: linen/cotton.	Außenstoff: Leinen/Baumwolle.
Filling: waterfowl feathers	Füllung: Wasservogelfedern.
Cotton/polyester/waterfowl feathers.	Baumwolle/Polyester/Wasservogelfedern.
Fabric: 100% silk.	Bezug: 100% Seide.
Filling: polyester fibres.	Füllung: 100% Polyesterfasern.
Cotton/cut polyurethane foam/polyester fibres.	Baumwolle/Polyetherstreifen/Polyesterfasern.
Linen/cotton/nylon/polyester fibres.	Leinen/Baumwolle/Nylon/Polyesterfasern.
Fabric: 100% cotton.	Bezug: 100% Baumwolle.
Filling: 100% polyurethane.	Füllung: 100% Polyurethan.
Fabric: linen/cotton.	Stoff: Leinen/Baumwolle.
Aluminium and brass.	Aluminium und Messing.
100% paraffin.	100% Paraffin.
Filling: 100% polyester fibres.	Füllung: 100% Polyesterfasern.
Banana leaf, palm leaf, seagrass and coir.	Bananenblätter, Palmblätter, Seegras und Kokosfaser.
Rattan and cotton.	Rattan und Baumwolle.
Synthetic latex, polyurethane foam and jersey cover.	Synth. Latex, Polyether, Jerseybezug.
Synthetic latex and velour cover.	Synth. Latex, Veloursbezug.
Pocket springs, synthetic latex and velour cover.	Taschenfedern, synth. Latex, Veloursbezug.
Bonell springs and velour cover.	Bonellfedern, Veloursbezug.
Polyurethane foam and jersey cover.	Polyether, Jerseybezug.
Silicon rubber and plastic.	Silikonkautschuk und Kunststoff.
Stainless steel and polyamide plastic.	Edelstahl und Polyamid.
Ceramics and plastic.	Keramik und Kunststoff.
Cast iron and stainless steel.	Gusseisen und Edelstahl.
Stained, clear lacquered rattan.	Gebeiztes, klar lackiertes Rattan.
Painted birch veneer and solid birch.	Lackiertes Birkenfurnier und massive Birke.
Lining: polypropylene.	Rückseite: Polypropylen.
Powder coated steel, polyester and plastic.	Pulverlackierter Stahl, Polyester und Kunststoff.
Solid acacia, ABS-plastic and synthetic rubber.	Massives Akazienholz, ABS-Kunststoff und synthetischer Gummi.
Clear lacquered solid beech and plastic.	Klar lackierte massive Buche und Kunststoff.
Cover: 44% cotton, 41% viscose, 11% polyester, 4% linen	Bezug: 44% Baumwolle, 41% Viskose, 11% Polyester und 4% Leinen.
Cover: 80% cotton and 20% polyester.	Bezug: 80% Baumwolle und 20% Polyester.
68% polyester and 32% cotton.	68% Polyester und 32% Baumwolle.
Solid acacia and steel.	Massives Akazienholz und Stahl.
Steel, polyethylene plastic and 100% cotton.	Stahl, Polyethylen und 100% Baumwolle.
Steel and polyethylene plastic.	Stahl und Polyethylen.
Steel, polyethylene plastic and tempered glass.	Stahl, Polyethylen und gehärtetes Glas.
Powder-coated aluminium and eucalyptus.	Pulverbeschichtetes Aluminium und Eukalyptusholz.
Painted solid acacia and steel.	Lackiertes, massives Akazienholz und Stahl.
Mirror glass and stained, clear lacquered ash veneer.	Spiegelglas und gebeiztes, klar lackiertes Eschenfurnier.
Steel, polyethylene plastic and polyester fabric.	Stahl, Polyethylen und Polyestergewebe.
Powder-coated cast iron.	Pulverbeschichtetes Gusseisen.
Polyethylene plastic.	Polyethylen.
Fabric: 50% cotton, 50% polyester.	Stoff: 50% Baumwolle, 50% Polyester.
Concrete.	Beton.
Fabric: 68% cotton/32% polyester.	Stoff: 68% Baumwolle/32% Polyester.
Filling: polyurethane	Füllung: Polyether.
Polyethylene plastic and 100% cotton.	Polyethylen und 100% Baumwolle.
Mirror glass and untreated solid pine.	Spiegelglas und unbehandelte massive Kiefer.
Steel and foil finish.	Stahl und folienbeschichtete Oberfläche.
Paperboard and jute.	Pappe und Jute.
Plastic, steel and textile.	Kunststoff, Stahl und Textil.
Plastic, steel and synthetic rubber.	Kunststoff, Stahl und synthetischer Gummi.
Painted willow and solid wood.	Lackierte Weide und Massivholz.
Pile: 63% wool, 22% polyester and 15% nylon.	Flor: 63% Wolle, 22% Polyester und 15% Nylon.
Filling: 90% duck down and 10% duck feathers.	Füllung: 90% Entendaunen und 10% Entenfedern.
56% polyester and 44% silk.	56% Polyester und 44% Seide.
Nickel-plated steel, synthetic rubber and plastic.	Vernickelter Stahl, synthetischer Gummi und Kunststoff.
Steel, aluminium, plastic and cast iron.	Stahl, Aluminium, Kunststoff und Gusseisen.
Plastic and brass-plated steel.	Kunststoff und vermessingter Stahl.
Polyamide plastic and rubber.	Polyamid und Gummi.
Powder-coated aluminium, polyester and eucalyptus.	Pulverbeschichtetes Aluminium, Polyester und Eukalyptusholz.
Cover: 100% polyester.	Bezug: 100% Polyester.
Particle board, melamine foil and solid birch.	Spanplatte, Melaminfolie und massive Birke.
Dried scented plant parts.	Parfümierte, getrocknete Pflanzenteile.
Bag: 100% cotton.	Beutel: 100% Baumwolle.
Bamboo and plastic.	Bambus und Kunststoff.
Paper and 100% polyester.	Papier und 100% Polyester.
Wheat and willow.	Weizen und Weide.
Solid beech or birch.	Massive Buche oder Birke.
Plaster, scented dried plant parts and natural fibres.	Gips, parfümierte, getrocknete Pflanzenteile und Naturfasern.
Silicone rubber and neodymium magnet.	Silikonkautschuk und Neodymmagnet.
Powder coated steel and silicon rubber.	Pulverbeschichteter Stahl und Silikonkautschuk.
Pile: 70% polypropylene and 30% polyester.	Flor: 70% Polypropylen und 30% Polyester.
Tin-plated aluminium.	Verzinntes Aluminium.
Tin-plated aluminium and glass.	Verzinntes Aluminium und Glas.
54% linen and 46% cotton.	54% Leinen und 46% Baumwolle.
Filling: polyester fibres.	Füllung: Polyesterfaser.
Stained, lacquered beech veneer.	Gebeiztes, klar lackiertes Buchenfurnier.
Cover: velvet, 77% cotton and 23% polyester.	Bezug: Samt, 77% Baumwolle und 23% Polyester.
Cover: 100% cotton	Bezug: 100% Baumwolle
Clear lacquered corrugated board.	Klar lackierte Wellpappe.
Birch plywood and polypropylene plastic.	Birkensperrholz und Polypropylen.
Cover: 56% cotton, 25% linen and 19% polyester.	Bezug: 56% Baumwolle, 25% Flachs und 19% Polyester.
Castors: plastic.	Rollen: Kunststoff.
Stoneware and stainless steel.	Steinzeug und Edelstahl.
Painted finish and porcelain.	Lackierte Oberfläche und Porzellan.
Crystalline glass and polycarbonate plastic.	Kristallglas und Polycarbonat.
Glass, stainless steel and plastic.	Glas, Edelstahl und Kunststoff.
Nickel plated steel, aluminium and acrylic plastic.	Vernickelter Stahl, Aluminium und Acryl.
Nickel-plated steel and 100% cotton.	Vernickelter Stahl und 100% Baumwolle.
Steel, glass and solid beech.	Stahl, Glas und massive Buche.
Polyester, cotton, polystyrene plastic and steel.	Polyester, Baumwolle, Polystyrol und Stahl.
70% cotton/30% linen/galvanised steel and polystryrene.	70% Baumwolle/30% Leinen/verzinkter Stahl und Polystyrol.
Powder coated steel, aluminium and ABS plastic.	Pulverbeschichteter Stahl, Aluminium and ABS-Kunststoff.
Polypropylene plastic and polystyrene plastic.	Polypropylen und Polystyrol.
Cover: through dyed grain leather.	Bezug: durchgefärbtes Narbenleder.
Legs: solid oak.	Beine: massive Eiche.
Aluminium, polycarbonate plastic and steel.	Aluminium, Polycarbonat und Stahl.
Rice paper, steel and plastic.	Reispapier, Stahl und Kunststoff.
100% cotton, plastic and steel.	100% Baumwolle, Kunststoff und Stahl.
Feldspar porcelain and glass.	Feldspatporzellan und Glas.
Aluminium and polycarbonate plastic.	Aluminium und Polycarbonat.
Glass and nickel-plated zinc.	Glas und vernickeltes Zink.
Glass, steel and aluminium.	Glas, Stahl und Aluminium.
EVA plastic.	EVA-Kunststoff.
Stained, clear lacquered oak veneer/chrome-plated steel	Gebeiztes, klar lackiertes Eichenfurnier/verchromter Stahl
Tinted, clear lacquered solid oak and oak veneer.	Getönte, klar lackierte Eiche und Eichenfurnier.
Underframe: steel.	Untergestell: Stahl.
Paper, stainless steel and plastic.	Papier, Edelstahl und Kunststoff.
Powder coated steel and laquered solid birch.	Pulverlackierter Stahl und lackiertes, massives Birkenholz.
Clear lacquered oak veneer and solid oak.	Klar lackiertes Eichenfurnier und massive Eiche.
Cover: Polyester/cotton.	Bezug: Polyester/Baumwolle.
Plastic and silicone rubber.	Kunststoff und Silikongummi.
Chrome-plated zinc and synthetic rubber.	Verchromtes Zink und Synthetikgummi.
Fixed cover: cotton, viscose, polyester and linen.	Fester Bezug: Baumwolle, Viskose, Polyester und Leinen.
Fixed cover: 80% cotton and 20% polyester.	Fester Bezug: 80% Baumwolle und 20% Polyester.
Pocket springs, natural latex, wool, cotton, solid pine	Taschenfedern, Naturlatex, Wolle, Baumwolle und massive Kiefer.
Pocket springs, natural latex, horse hair and wool.	Taschenfedern, Naturlatex, Rosshaar und Wolle.
Pocket springs and cold foam.	Taschenfedern und Kaltschaum.
